Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,ESOL predicted log solubility in mols per litre,LogP,AromaticProportion,FluorineAtoms,ChlorineAtoms,BromineAtoms,IodineAtoms,TotalHalogenAtoms
Pentylbenzene,CCCCCc1ccccc1,1,148.249,0,1,4,0.0,-4.64,-3.899,3.4193000000000024,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
allantoin,NC(=O)NC1NC(=O)NC1=O ,1,158.117,4,1,1,113.32,-1.6,0.652,-2.1798,0.0,0.0,0.0,0.0,0.0,0.0
Glafenine,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,1,372.808,3,3,6,91.68,-4.571,-5.052,3.141800000000001,0.6153846153846154,0.0,1.0,0.0,0.0,1.0
DDD,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1,320.046,0,2,3,0.0,-7.2,-6.008,5.929000000000003,0.6666666666666666,0.0,4.0,0.0,0.0,4.0
testosterone acetate,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,1,330.468,0,4,1,43.37,-5.184,-4.449,4.450000000000004,0.0,0.0,0.0,0.0,0.0,0.0
1-Chloronapthalene,Clc1cccc2ccccc12,1,162.619,0,2,0,0.0,-3.93,-4.063,3.4932000000000016,0.9090909090909091,0.0,1.0,0.0,0.0,1.0
RTI 19,CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,1,252.317,0,3,1,23.55,-4.749,-4.007,3.4346000000000023,0.631578947368421,0.0,0.0,0.0,0.0,0.0
2-Hexanol,CCCCC(C)O,1,102.177,1,0,3,20.23,-0.89,-1.324,1.5574,0.0,0.0,0.0,0.0,0.0,0.0
Propylcyclopentane,CCCC1CCCC1,1,112.216,0,1,2,0.0,-4.74,-3.16,2.976700000000002,0.0,0.0,0.0,0.0,0.0,0.0
Etomidate,CCOC(=O)c1cncn1C(C)c2ccccc2,1,244.294,0,2,4,44.12,-4.735,-3.359,2.669100000000001,0.6111111111111112,0.0,0.0,0.0,0.0,0.0
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,1,163.003,1,1,0,20.23,-1.25,-3.352,2.6990000000000007,0.6666666666666666,0.0,2.0,0.0,0.0,2.0
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,416.304,0,3,6,59.32,-8.017,-6.775,6.177980000000004,0.42857142857142855,0.0,2.0,0.0,0.0,2.0
Benzoxazole,c2ccc1ocnc1c2,2,119.123,0,2,0,26.03,-1.16,-2.214,1.8277999999999999,1.0,0.0,0.0,0.0,0.0,0.0
1-Pentanol,CCCCCO,1,88.15,1,0,3,20.23,-0.6,-1.042,1.1689,0.0,0.0,0.0,0.0,0.0,0.0
"N,N-Diethylaniline",CCN(CC)c1ccccc1,1,149.237,0,1,3,3.24,-3.03,-3.16,2.532800000000001,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
"1,3-Difluorobenzene",Fc1cccc(F)c1,1,114.094,0,1,0,0.0,-2.0,-2.636,1.9648,0.75,2.0,0.0,0.0,0.0,2.0
3-chloropropionitrile,ClCCC#N ,1,89.525,0,0,1,23.79,-0.29,-0.522,1.1388800000000001,0.0,0.0,1.0,0.0,0.0,1.0
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,1,148.249,0,1,1,0.0,-4.15,-3.867,3.2752000000000017,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
5-Ethyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,1,232.239,2,2,2,75.27,-2.322,-2.272,0.7003999999999997,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
o-Chloroiodobenzene,Clc1ccccc1I,1,238.455,0,1,0,0.0,-3.54,-4.384,2.9446000000000003,0.75,0.0,1.0,0.0,1.0,2.0
Benzotriazole,c2ccc1[nH]nnc1c2,2,119.127,1,2,0,41.57,-0.78,-2.21,0.9578999999999998,1.0,0.0,0.0,0.0,0.0,0.0
Carbofuran,CNC(=O)Oc1cccc2CC(C)(C)Oc12,1,221.256,1,2,1,47.56,-2.8,-3.05,2.1183,0.375,0.0,0.0,0.0,0.0,0.0
"2,6-Dimethylphenol",Cc1cccc(C)c1O,1,122.167,1,1,0,20.23,-1.29,-2.589,2.00904,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
3-Methyl-2-butanol,CC(C)C(C)O,1,88.15,1,0,1,20.23,-0.18,-0.954,1.0231999999999999,0.0,0.0,0.0,0.0,0.0,0.0
benzhydrol,c1ccccc1C(O)c2ccccc2,1,184.238,1,2,2,20.23,-2.55,-3.033,2.768300000000001,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
Methyl decanoate,CCCCCCCCCC(=O)OC,1,186.295,0,0,8,26.3,-4.69,-3.316,3.3001000000000023,0.0,0.0,0.0,0.0,0.0,0.0
Dicapthon,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,1,297.656,0,1,5,70.83,-4.31,-4.188,3.144300000000002,0.35294117647058826,0.0,1.0,0.0,0.0,1.0
1-Bromo-2-methylpropane,CC(C)CBr,1,137.02,0,0,1,0.0,-2.43,-2.288,2.0373,0.0,0.0,0.0,1.0,0.0,1.0
Iodoethane,CCI,1,155.966,0,0,0,0.0,-1.6,-2.066,1.4413,0.0,0.0,0.0,0.0,1.0,1.0
Pirimicarb,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,1,238.291,0,1,2,58.56,-1.95,-2.34,1.2198399999999998,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
1-Bromohexane,CCCCCCBr,1,165.074,0,0,4,0.0,-3.81,-3.012,2.9616000000000016,0.0,0.0,0.0,1.0,0.0,1.0
2-Methylpentane,CCCC(C)C,1,86.178,0,0,2,0.0,-3.74,-2.6,2.442500000000001,0.0,0.0,0.0,0.0,0.0,0.0
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,1,418.736,0,2,4,26.3,-7.321,-6.339,5.551820000000002,0.2222222222222222,7.0,1.0,0.0,0.0,8.0
Metolachlor,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,1,283.799,0,1,6,29.54,-2.73,-3.431,3.1641200000000014,0.3157894736842105,0.0,1.0,0.0,0.0,1.0
nifuroxime,ON=Cc1ccc(o1)N(=O)=O ,1,156.097,1,1,2,88.87,-2.19,-1.843,0.9959,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
Fluvalinate,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,502.92,1,3,8,71.35,-8.003,-8.057,7.395680000000005,0.5142857142857142,3.0,1.0,0.0,0.0,4.0
Amitrole,Nc1nc[nH]n1,1,84.082,2,1,0,67.59,0.522,-0.674,-0.6131000000000002,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Tribromomethane,BrC(Br)Br,1,252.731,0,0,0,0.0,-1.91,-2.904,2.4547,0.0,0.0,0.0,3.0,0.0,3.0
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,257.437,1,0,3,55.76,-0.22,-1.866,2.1609000000000003,0.0,0.0,3.0,0.0,0.0,3.0
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,1,367.816,0,2,7,53.6,-5.233,-5.024,4.236100000000003,0.42857142857142855,0.0,1.0,0.0,0.0,1.0
Phenylmethanol,OCc1ccccc1,1,108.14,1,1,1,20.23,-0.4,-1.699,1.1789,0.75,0.0,0.0,0.0,0.0,0.0
Coumatetralyl,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,1,292.334,1,4,1,50.44,-2.84,-5.194,3.9668000000000028,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
4-Bromophenol,Oc1ccc(Br)cc1,1,173.009,1,1,0,20.23,-1.09,-3.132,2.1547,0.75,0.0,0.0,1.0,0.0,1.0
2-Bromopropane,CC(C)Br,1,122.993,0,0,0,0.0,-1.59,-1.949,1.7897,0.0,0.0,0.0,1.0,0.0,1.0
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,1,114.232,0,0,1,0.0,-4.74,-3.276,3.0786000000000016,0.0,0.0,0.0,0.0,0.0,0.0
"1,3,5-Trinitrobenzene",O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,213.105,0,1,3,129.42,-2.89,-2.324,1.4112,0.4,0.0,0.0,0.0,0.0,0.0
Nimetazepam,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,1,295.298,0,3,2,75.81,-3.796,-3.557,2.4086000000000007,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
Propane,CCC,1,44.097,0,0,0,0.0,-1.94,-1.553,1.4163,0.0,0.0,0.0,0.0,0.0,0.0
Minoxidil,Nc1cc(nc(N)n1=O)N2CCCCC2 ,1,209.253,2,2,1,95.11,-1.989,-1.809,-0.1303000000000003,0.4,0.0,0.0,0.0,0.0,0.0
1-aminoacridine,Nc2cccc3nc1ccccc1cc23 ,1,194.237,1,3,0,38.91,-4.22,-3.542,2.970200000000001,0.9333333333333333,0.0,0.0,0.0,0.0,0.0
Benzo(k)fluoranthene,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,2,252.316,0,5,0,0.0,-8.49,-6.007,5.640400000000003,1.0,0.0,0.0,0.0,0.0,0.0
Dicofol,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,1,370.49,1,2,2,20.23,-5.666,-6.268,5.599500000000002,0.6,0.0,5.0,0.0,0.0,5.0
Acenapthene,C1Cc2cccc3cccc1c23,2,154.212,0,3,0,0.0,-4.63,-3.792,2.9384000000000015,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Dialifos,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,1,393.854,0,2,8,55.84,-6.34,-5.026,3.878200000000003,0.2608695652173913,0.0,1.0,0.0,0.0,1.0
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,1,235.906,0,1,0,0.0,-4.07,-4.298,3.2116000000000007,0.75,0.0,0.0,2.0,0.0,2.0
Methazole,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,1,261.064,0,2,1,57.14,-2.82,-3.601,1.4359999999999997,0.6875,0.0,2.0,0.0,0.0,2.0
p-Phenylphenol,Oc1ccc(cc1)c2ccccc2,1,170.211,1,2,1,20.23,-3.48,-3.701,3.0592000000000015,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
pyracarbolid,CC1=C(CCCO1)C(=O)Nc2ccccc2 ,1,217.268,1,2,2,38.33,-2.56,-2.83,2.709500000000001,0.375,0.0,0.0,0.0,0.0,0.0
Ethyl vinyl ether,CCOC=C,1,72.107,0,0,2,9.23,-0.85,-0.857,1.1664,0.0,0.0,0.0,0.0,0.0,0.0
1-Butyne,CCC#C,1,54.092,0,0,0,0.0,-1.24,-1.092,1.0295999999999998,0.0,0.0,0.0,0.0,0.0,0.0
4-methoxypteridine,COc1ncnc2nccnc12 ,1,162.152,0,2,1,60.79,-1.11,-1.589,0.4283999999999998,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
3-Methyl-3-heptanol,CCCCC(C)(O)CC,1,130.231,1,0,4,20.23,-1.6,-2.017,2.3376,0.0,0.0,0.0,0.0,0.0,0.0
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,1,147.004,0,1,0,0.0,-3.27,-3.558,2.993400000000001,0.75,0.0,2.0,0.0,0.0,2.0
3-Ethanoyloxymethylphenytoin,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,324.336,1,3,4,75.71,-4.47,-2.723,2.0025999999999993,0.5,0.0,0.0,0.0,0.0,0.0
"Sparsomycin (3,8mg/ml)",CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,1,361.445,4,1,8,132.12,-1.981,-1.57,-1.068879999999999,0.2608695652173913,0.0,0.0,0.0,0.0,0.0
3-methylindole,Cc1c[nH]c2ccccc12 ,1,131.178,1,2,0,15.79,-2.42,-2.981,2.4763200000000003,0.9,0.0,0.0,0.0,0.0,0.0
2-methoxypteridine,COc2ncc1nccnc1n2,1,162.152,0,2,1,60.79,-1.11,-1.589,0.42839999999999984,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Dioxacarb,CNC(=O)Oc1ccccc1C2OCCO2,1,223.228,1,2,2,56.79,-1.57,-1.614,1.4502,0.375,0.0,0.0,0.0,0.0,0.0
isocarbamid,C1N(C(=O)NCC(C)C)C(=O)NC1,1,185.227,2,1,2,61.44,-2.15,-1.508,0.37720000000000026,0.0,0.0,0.0,0.0,0.0,0.0
Acetonitrile,CC#N,1,41.053,0,0,0,23.79,0.26,0.152,0.52988,0.0,0.0,0.0,0.0,0.0,0.0
Fenoxycarb,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,1,301.342,1,2,7,56.79,-4.7,-4.662,3.6038000000000023,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
acetyl sulfisoxazole,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,1,293.348,1,2,3,89.43,-3.59,-2.024,1.9493400000000003,0.55,0.0,0.0,0.0,0.0,0.0
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,1,167.85,0,0,0,0.0,-2.18,-2.794,2.5954000000000006,0.0,0.0,4.0,0.0,0.0,4.0
1-Butanol,CCCCO,1,74.123,1,0,2,20.23,0.0,-0.688,0.7787999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Siduron,CC1CCCCC1NC(=O)Nc2ccccc2,1,232.327,2,2,2,41.13,-4.11,-3.779,3.386800000000001,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,1,181.449,0,1,0,0.0,-4.48,-4.159,3.6468000000000007,0.6666666666666666,0.0,3.0,0.0,0.0,3.0
Furfural,O=Cc1ccco1,1,96.085,0,1,1,30.21,-0.1,-1.391,1.0920999999999998,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
3-Methylbutan-1-ol,CC(C)CCO,1,88.15,1,0,2,20.23,-0.51,-1.027,1.0248,0.0,0.0,0.0,0.0,0.0,0.0
piperonal,O=Cc2ccc1OCOc1c2 ,1,150.133,0,2,1,35.53,-1.63,-2.033,1.2278,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
2-Methylpropene,CC(=C)C,1,56.108,0,0,0,0.0,-2.33,-1.573,1.5824,0.0,0.0,0.0,0.0,0.0,0.0
Benzaldehyde,O=Cc1ccccc1,1,106.124,0,1,1,17.07,-1.19,-1.999,1.4990999999999999,0.75,0.0,0.0,0.0,0.0,0.0
"2,3-Dimethyl-1,3-Butadiene",CC(=C)C(=C)C,1,82.146,0,0,1,0.0,-2.4,-2.052,2.1386000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,1,410.536,0,2,8,68.31,-4.71,-5.133,4.057500000000004,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
RTI 10,O2c1ccccc1N(C)C(=O)c3cccnc23 ,1,226.235,0,3,0,42.43,-3.672,-2.771,2.4639000000000006,0.7058823529411765,0.0,0.0,0.0,0.0,0.0
Fluorene ,C1c2ccccc2c3ccccc13,2,166.223,0,3,0,0.0,-5.0,-4.125,3.2578000000000014,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
Methylcyclohexane ,CC1CCCCC1,1,98.189,0,1,0,0.0,-3.85,-2.891,2.5866000000000007,0.0,0.0,0.0,0.0,0.0,0.0
sulfaguanidine,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,1,214.25,4,1,2,122.06,-1.99,-0.706,-0.5594299999999999,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
Methylparaben,COC(=O)c1ccc(O)cc1,1,152.149,1,1,1,46.53,-1.827,-2.441,1.1788,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
2-Methyltetrahydrofurane,CC1CCCO1,1,86.134,0,1,0,9.23,0.11,-1.034,1.1853,0.0,0.0,0.0,0.0,0.0,0.0
Santonin,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,1,246.306,0,3,0,43.37,-3.09,-2.43,2.419600000000001,0.0,0.0,0.0,0.0,0.0,0.0
Salicin,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,1,286.28,5,2,4,119.61,-0.85,-0.975,-1.6424000000000003,0.3,0.0,0.0,0.0,0.0,0.0
1-Iodopropane,CCCI,1,169.993,0,0,1,0.0,-2.29,-2.486,1.8314,0.0,0.0,0.0,0.0,1.0,1.0
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,1,227.337,2,1,5,62.73,-3.04,-3.43,1.8455999999999997,0.4,0.0,0.0,0.0,0.0,0.0
1-Propanol,CCCO,1,60.096,1,0,1,20.23,0.62,-0.334,0.3887,0.0,0.0,0.0,0.0,0.0,0.0
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,330.468,1,4,1,54.37,-3.817,-3.876,3.8384000000000027,0.0,0.0,0.0,0.0,0.0,0.0
2-Pentanol,CCCC(C)O,1,88.15,1,0,2,20.23,-0.29,-0.97,1.1673,0.0,0.0,0.0,0.0,0.0,0.0
benzoin,OC(C(=O)c1ccccc1)c2ccccc2,1,212.248,1,2,3,37.3,-2.85,-3.148,2.602900000000001,0.75,0.0,0.0,0.0,0.0,0.0
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,1,122.167,1,1,0,20.23,-1.19,-2.621,2.0090399999999997,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
m-Chloronitrobenzene ,Clc1cccc(c1)N(=O)=O,1,157.556,0,1,1,43.14,-2.77,-2.901,2.2482000000000006,0.6,0.0,1.0,0.0,0.0,1.0
ampyrone,Cc2c(N)c(=O)n(c1ccccc1)n2C,1,203.245,1,2,1,52.95,-0.624,-1.192,1.0666200000000003,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
"2,2',4,5'-PCB",Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,1,291.992,0,2,1,0.0,-6.57,-6.23,5.967200000000002,0.75,0.0,4.0,0.0,0.0,4.0
"Hexachloro-1,3-butadiene",ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,1,260.762,0,0,1,0.0,-4.92,-4.546,4.7574,0.0,0.0,6.0,0.0,0.0,6.0
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,1,241.364,2,1,4,62.73,-4.0,-3.75,2.2356999999999996,0.375,0.0,0.0,0.0,0.0,0.0
3-Methyl-2-pentanol,CCC(C)CCO,1,102.177,1,0,3,20.23,-0.71,-1.308,1.4149,0.0,0.0,0.0,0.0,0.0,0.0
2-methylpteridine,Cc2ncc1nccnc1n2,1,146.153,0,2,0,51.56,-0.12,-1.24,0.7282199999999999,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Danazol,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,1,337.463,1,5,0,46.26,-5.507,-4.557,4.221000000000004,0.2,0.0,0.0,0.0,0.0,0.0
1-Iodobutane,CCCCI,1,184.02,0,0,2,0.0,-2.96,-2.841,2.2215,0.0,0.0,0.0,0.0,1.0,1.0
2-Bromonapthalene,Brc1ccc2ccccc2c1,1,207.07,0,2,0,0.0,-4.4,-4.434,3.6023000000000014,0.9090909090909091,0.0,0.0,1.0,0.0,1.0
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,1,780.949,6,8,7,203.06,-4.081,-5.312,2.2181000000000015,0.0,0.0,0.0,0.0,0.0,0.0
Benzyltrifluoride,FC(F)(F)c1ccccc1,1,146.111,0,1,0,0.0,-2.51,-3.099,2.705400000000001,0.6,3.0,0.0,0.0,0.0,3.0
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1,334.456,0,1,12,52.6,-6.144,-5.758,5.160800000000005,0.25,0.0,0.0,0.0,0.0,0.0
Dibenzothiophene,c1ccc2c(c1)sc3ccccc23,2,184.263,0,3,0,0.0,-4.38,-4.597,4.054500000000002,1.0,0.0,0.0,0.0,0.0,0.0
"2,3',4,4'-PCB",Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,1,326.437,0,2,1,0.0,-7.8,-6.709,6.620600000000001,0.7058823529411765,0.0,5.0,0.0,0.0,5.0
"2,2',3,3',4,4'-PCB",Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,1,360.882,0,2,1,0.0,-8.01,-7.192,7.274000000000001,0.6666666666666666,0.0,6.0,0.0,0.0,6.0
Warfarin,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,1,308.333,1,3,4,67.51,-3.893,-3.913,3.609600000000003,0.6956521739130435,0.0,0.0,0.0,0.0,0.0
hydrobenzoin,c1ccccc1C(O)C(O)c2ccccc2,1,214.264,2,2,3,40.46,-1.93,-2.645,2.4536000000000007,0.75,0.0,0.0,0.0,0.0,0.0
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,1,194.186,0,1,2,52.6,-1.66,-2.347,1.2597999999999998,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
Ethyl octanoate,CCCCCCCC(=O)OCC,1,172.268,0,0,7,26.3,-3.39,-2.962,2.910000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Diethyldisulfide,CCSSCC,1,122.258,0,0,3,0.0,-2.42,-2.364,2.4076000000000004,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Diethoxyethane ",CCOCCOCC,1,118.176,0,0,5,18.46,-0.77,-0.833,1.0594000000000001,0.0,0.0,0.0,0.0,0.0,0.0
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,1,215.894,0,1,0,0.0,-5.56,-4.621,4.3002,0.6,0.0,4.0,0.0,0.0,4.0
p-benzidine,Nc1ccc(cc1)c2ccc(N)cc2,1,184.242,2,2,1,52.04,-2.7,-2.613,2.518,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
1-Heptene,CCCCCC=C,1,98.189,0,0,4,0.0,-3.73,-2.718,2.752700000000001,0.0,0.0,0.0,0.0,0.0,0.0
Ethirimol,CCCCc1c(C)nc(NCC)[nH]c1=O,1,209.293,2,1,5,57.78,-3.028,-2.732,1.85272,0.4,0.0,0.0,0.0,0.0,0.0
Pentobarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,1,226.276,2,1,4,75.27,-2.39,-2.312,1.1849999999999992,0.0,0.0,0.0,0.0,0.0,0.0
o-Chloroaniline,Nc1ccccc1Cl,1,127.574,1,1,0,26.02,-1.52,-2.392,1.9222,0.75,0.0,1.0,0.0,0.0,1.0
3-Chloroanisole,COc1cccc(Cl)c1,1,142.585,0,1,1,9.23,-2.78,-3.057,2.3486000000000002,0.6666666666666666,0.0,1.0,0.0,0.0,1.0
Pebulate,CCCCN(CC)C(=O)SCCC,1,203.351,0,0,6,20.31,-3.53,-3.131,3.3716000000000026,0.0,0.0,0.0,0.0,0.0,0.0
Butyl acetate,CCCCOC=O,1,102.133,0,0,4,26.3,-1.37,-1.111,0.9595,0.0,0.0,0.0,0.0,0.0,0.0
Prednisolone,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,1,360.45,3,4,2,94.83,-3.18,-2.974,1.5575999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Bromodichloromethane,BrC(Cl)Cl,1,163.829,0,0,0,0.0,-1.54,-2.176,2.1425,0.0,0.0,2.0,1.0,0.0,3.0
adrenosterone,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,1,300.398,0,4,0,51.21,-3.48,-2.99,3.2664000000000017,0.0,0.0,0.0,0.0,0.0,0.0
p-terphenyl,c1ccc(cc1)c2ccc(cc2)c3ccccc3,2,230.31,0,3,2,0.0,-7.11,-5.741,5.0206000000000035,1.0,0.0,0.0,0.0,0.0,0.0
p-Hydroxybenzaldehyde ,Oc1ccc(C=O)cc1,1,122.123,1,1,1,37.3,-0.96,-2.003,1.2047,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Bromomethane,CBr,1,94.939,0,0,0,0.0,-0.79,-1.109,1.0110999999999999,0.0,0.0,0.0,1.0,0.0,1.0
Perfluidone,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,1,379.381,1,2,4,80.31,-3.8,-4.945,3.0893200000000016,0.5,3.0,0.0,0.0,0.0,3.0
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,1,342.778,1,3,4,67.51,-5.839,-4.554,4.263000000000003,0.6666666666666666,0.0,1.0,0.0,0.0,1.0
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,1,156.228,0,2,1,0.0,-4.29,-4.1,3.4022000000000014,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
5-methylcytosine,Nc1c(C)c[nH]c(=O)n1 ,1,125.131,2,1,0,71.77,-1.458,-0.257,-0.33948000000000017,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
"2,3,4,5,6-PCB",Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,1,326.437,0,2,1,0.0,-7.92,-6.785,6.620600000000001,0.7058823529411765,0.0,5.0,0.0,0.0,5.0
benodanil,c1c(NC(=O)c2ccccc2(I))cccc1,1,323.133,1,2,2,29.1,-4.21,-4.245,3.5435000000000016,0.75,0.0,0.0,0.0,1.0,1.0
Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,1,376.369,5,3,5,161.56,-3.685,-1.865,-1.7235599999999989,0.5185185185185185,0.0,0.0,0.0,0.0,0.0
o-Fluorobromobenzene,Fc1ccccc1Br,1,175.0,0,1,0,0.0,-2.7,-3.467,2.5882000000000005,0.75,1.0,0.0,1.0,0.0,2.0
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,1,163.003,1,1,0,20.23,-1.55,-3.22,2.699,0.6666666666666666,0.0,2.0,0.0,0.0,2.0
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,1,391.294,0,3,6,35.53,-6.291,-7.129,6.113300000000004,0.46153846153846156,0.0,2.0,0.0,0.0,2.0
piroxicam,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,1,331.353,2,3,2,99.6,-4.16,-3.473,1.5810000000000002,0.5217391304347826,0.0,0.0,0.0,0.0,0.0
3-Propanoyloxymethylphenytoin,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,338.363,1,3,5,75.71,-4.907,-3.128,2.3927000000000005,0.48,0.0,0.0,0.0,0.0,0.0
Cyclopentane ,C1CCCC1,2,70.135,0,1,0,0.0,-2.64,-2.038,1.9505000000000001,0.0,0.0,0.0,0.0,0.0,0.0
